Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
NSS,"NuStar Logistics, L.P.",25.2,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nss
NTR,Nutrien Ltd.,52.9,$30.68B,2018,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/ntr
JMLP,Nuveen All Cap Energy MLP Opportunities Fund,6.35,$85.73M,2014,n/a,n/a,https://www.nasdaq.com/symbol/jmlp
NVG,Nuveen AMT-Free Municipal Credit Income Fund,16.02,$3.24B,2002,n/a,n/a,https://www.nasdaq.com/symbol/nvg
NUV,Nuveen AMT-Free Municipal Value Fund,10.18,$2.11B,1987,n/a,n/a,https://www.nasdaq.com/symbol/nuv
NUW,Nuveen AMT-Free Municipal Value Fund,17.14,$263.94M,2009,n/a,n/a,https://www.nasdaq.com/symbol/nuw
NEA,Nuveen AMT-Free Quality Municipal Income Fund,13.89,$3.65B,2002,n/a,n/a,https://www.nasdaq.com/symbol/nea
NAZ,Nuveen Arizona Quality Municipal Income Fund,13.08,$151.35M,1992,n/a,n/a,https://www.nasdaq.com/symbol/naz
NKX,Nuveen California AMT-Free Quality Municipal Income Fund,14.64,$695.7M,2002,n/a,n/a,https://www.nasdaq.com/symbol/nkx
NCB,Nuveen California Municipal Value Fund 2,16.1559,$53.34M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ncb
NCA,"Nuveen California Municipal Value Fund, Inc.",10.1,$283.72M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nca
NAC,Nuveen California Quality Municipal Income Fund,14.56,$2.11B,1999,n/a,n/a,https://www.nasdaq.com/symbol/nac
NTC,Nuveen Connecticut Quality Municipal Income Fund,13.0175,$186.53M,1993,n/a,n/a,https://www.nasdaq.com/symbol/ntc
JCE,Nuveen Core Equity Alpha Fund,14.27,$228.73M,2007,n/a,n/a,https://www.nasdaq.com/symbol/jce
JCO,Nuveen Credit Opportunities 2022 Target Term Fund,9.67,$267.74M,2017,n/a,n/a,https://www.nasdaq.com/symbol/jco
JQC,Nuveen Credit Strategies Income Fund,7.95,$1.08B,2003,n/a,n/a,https://www.nasdaq.com/symbol/jqc
JDD,Nuveen Diversified Dividend and Income Fund,10.92,$215.52M,2003,n/a,n/a,https://www.nasdaq.com/symbol/jdd
